id,question,correctAnswer,answerA,answerB,answerC,answerD
197026,"one condition involving molecule, kidneys unable filter waste products blood due failure basement membranes.",B,Microtubule,Collagen,Citric acid cycle,Cholesterol
197032,fact property emerges interaction regions separated neel bloch walls demonstrated barkhausen effect.,A,Ferromagnetism,Seafloor spreading,Cherenkov radiation,Thermoelectric effect#Seebeck effect
427,often cited secular analogue lamentation cappella di eleonora.,B,Transcription (genetics),Venus,Hamiltonian (quantum mechanics),Group (mathematics)
197038,"objects possess magnetic field whose axis symmetry offset rotation axis, giving rise lighthouse effect.",C,Cherenkov radiation,Zeeman effect,Pulsar,Magnetic field
197047,"one representation quantity equal momentum squared two times mass, represented lagrangian capital t. equipartition theorem dictates molecules ideal gas, quantity equal three-halves times boltzmann constant times temperature.",A,Kinetic energy,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni
197051,"glaucophytes microscopic varieties organisms, lichen composed fungus one them.",A,Algae,Transcription (genetics),Hamiltonian (quantum mechanics),Group (mathematics)
197056,"fixed gap ""h"" used one variation operation, improves upon simpler version ""h"" would always equal one.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Sorting algorithm
197064,quantity calculated using eyring equation.,B,Vapor pressure,Activation energy,Arrhenius equation,Henry's law
197067,structure associated lysosomal storage disease caused deficiency alpha-galactosidase known fabry's disease.,A,X chromosome,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
197071,"""p"", ""r"", ""s"" used name processes occur events, presence balmer series spectra used categorize them.",B,Group (mathematics),Supernova,Don Giovanni,Hamiltonian (quantum mechanics)
197076,canal ray tubes used investigate form phenomenon predicted special relativity ives-stillwell experiment.,C,Cherenkov radiation,Electric field,Doppler effect,Diamagnetism
484,"painting originally supposed serve companion piece giovanni rost's innocence tapestry, studies iconology, erwin panofsky argued represents critique luxury.",A,Venus,The Tempest,The Last Supper (Leonardo da Vinci),The Death of Socrates
197094,substances usually exhibit non-maxwellian velocity distribution cold varieties could theoretically form rydberg matter.,C,Viscosity,Electronegativity,Plasma (physics),Bose-Einstein condensate
197103,man explored non-uniformity arising reaction-diffusion systems chemical basis morphogenesis.,B,Hamiltonian (quantum mechanics),Alan Turing,Don Giovanni,Group (mathematics)
197112,b variety structure forms backbone ntfs btrfs [butter-eff-ess].,C,Group (mathematics),Tree (data structure),Tree (graph theory),Bessel function
197123,"dmc1 rad51 genes involved pachytene process, synaptonemal complex assembles leptotene first stage process.",B,Group (mathematics),Meiosis,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
197126,21 (tiebreaker).,C,Dirac delta function,Hamiltonian (quantum mechanics),X-ray,Group (mathematics)
197128,"one ""golden rules"" operational amplifiers states quantity inputs op-amp.",D,Hooke's law,Thermoelectric effect#Seebeck effect,Davisson-Germer experiment,Electric current
197133,"2005, observations object's outer disk indicated may almost twice large previously thought.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Andromeda Galaxy,Hamiltonian (quantum mechanics)
103854,"one conserved gag, analogous copia drosophila.",B,Group (mathematics),Transposable element,Transcription (genetics),Hamiltonian (quantum mechanics)
197145,"one reactions produces substituted 1,4-cyclohexadienes named birch.",A,Reduction (chemistry),Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
197148,"features may create breccia-filled diatremes, form maars reach surface.",B,Georg Wilhelm Friedrich Hegel,Volcano,Hamiltonian (quantum mechanics),Group (mathematics)
197157,"low temperatures, debye's model accounts phonon contribution quantity.",B,Hamiltonian (quantum mechanics),Heat capacity,Group (mathematics),Georg Wilhelm Friedrich Hegel
197166,star detector bnl discovered particle's antiparticle 2011.,A,Alpha particle,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
197176,founder-flush models phenomenon propose may result repeated bottlenecks.,A,Speciation,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
197182,"quotients number's continued fraction representation one, ptolemy's theorem shows value ratio regular pentagon's diagonal side length.",B,Group (mathematics),Golden ratio,Hamiltonian (quantum mechanics),Don Giovanni
197184,euler's laws motion reformulate newton's laws respect quantity.,D,Group (mathematics),Hamiltonian (quantum mechanics),Johann Wolfgang von Goethe,Center of mass
197188,21 (tiebreaker).,A,Matrix (mathematics),Dirac delta function,Group (mathematics),Hamiltonian (quantum mechanics)
197197,"man discovered method minimizing chromatic aberration telescopes, solved brachistochrone problem curve cycloid.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Isaac Newton,Hamiltonian (quantum mechanics)
197200,man names type ordered field non-negative elements squares.,D,Group (mathematics),Riemann zeta function,Hamiltonian (quantum mechanics),Euclid
197207,"silex method sorts samples element, acetate oxycation element used negative stain electron microscopy.",A,Uranium,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
197209,21 (tiebreaker).,D,Hamiltonian (quantum mechanics),Group (mathematics),Dirac delta function,Ideal gas law
197211,"""air-seeding"" causes cavitation tissue, fixed importing solutes ray cells.",B,Georg Wilhelm Friedrich Hegel,Xylem,Group (mathematics),Hamiltonian (quantum mechanics)
197221,one devices paired voltage source simplify circuit thevenin's theorem.,B,Don Giovanni,Resistor,Hamiltonian (quantum mechanics),Group (mathematics)
197227,"snc meteorites, along recently found tissint meteorite, originated body.",A,Mars,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
197231,"study patient hm led dissociation phenomenon procedural declarative types, latter divided semantic episodic components.",B,Georg Wilhelm Friedrich Hegel,Memory,Group (mathematics),Hamiltonian (quantum mechanics)
197233,"quantity numerator exponential term black's equation, value determined finding slope graph plotting log rate constant reciprocal temperature.",C,Group (mathematics),Hamiltonian (quantum mechanics),Activation energy,Don Giovanni
197237,"many organisms contain organs bojanus, types produce free swimming larva called veliger.",D,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics),Mollusca
197244,star's white dwarf companion postulated fredrich bessel discovered alvan clark.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Sirius
197248,"he's navier, man stokes name diffusion equation models flow spherical particles liquids low reynolds numbers.",C,Diamagnetism,Electric field,Albert Einstein,Cherenkov radiation
197255,riemann sphere formed adding point complex plane.,D,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics),Infinity
197257,sackur-tetrode equation describes quantity monatomic ideal gas.,B,Georg Wilhelm Friedrich Hegel,Entropy,Group (mathematics),Hamiltonian (quantum mechanics)
197264,one variety system discrete states named doubochinski.,C,Don Giovanni,Group (mathematics),Pendulum,Hamiltonian (quantum mechanics)
197266,"""toy"" ""toe"" two orthologs pax6 gene drosophila named influence development structures.",B,Mitochondrion,Eye,Actin,Echinoderm
197274,"value quantity molecule charge called isoelectric point, increase quantity allows hemoglobin carry oxygen bohr effect.",D,Diffusion,Viscosity,Enthalpy,PH
207644,trochophore ciliated larval stage life cycle many marine organisms phylum.,C,Mitochondrion,Echinoderm,Mollusca,Bird
197291,"kruskal-szekeres coordinates used describe one type entities, penrose process could hypothetically extract energy them.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Black hole
197313,"porath flodin introduced dextran-based gels size-exclusion variety process, process's optimal velocity found van deemter equation.",B,Don Giovanni,Chromatography,Hamiltonian (quantum mechanics),Group (mathematics)
197316,"abscisic acid triggers influx element stomatal guard cells, element's oxalate carbonate form raphides plants.",D,Peroxisome,Cholesterol,Apoptosis,Calcium
197324,"compound converts oleic acid azelaic acid, attacks double bonds polymers leads namesake ""cracking"" materials like rubber.",A,Ozone,Ammonia,Arsenic,Cyclohexane
197327,"pratt airy models describe gravitational equilibrium objects, called isostasy, vacquier noticed magnetic striping them.",A,Plate tectonics,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
197337,"torricelli's equation special case principle, derived integrating euler's equations certain assumptions apply systems low mach numbers.",A,Bernoulli's principle,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
197347,norman jensen created triangles plot chemical species according quantity.,A,Electronegativity,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
197352,hadamard regularized operation certain conditions dropping divergent terms.,A,Integral,Surface tension,Vapor pressure,Entropy
197358,"type process collisions much likely typical named knudsen, multicomponent systems use maxwell-stefan model.",D,Arrhenius equation,Enthalpy,Viscosity,Diffusion
197368,type stone used lithography print image onto multiple sheets paper.,B,Hamiltonian (quantum mechanics),Limestone,Group (mathematics),Don Giovanni
197374,"presence zinc ions, molecule forms hexamers.",B,Cholesterol,Insulin,Citric acid cycle,Adenosine triphosphate
197376,"phenomenon occur room temperatures catalyzed muons, lawson criterion defines conditions phenomenon starts.",B,Spin (physics),Nuclear fusion,Seafloor spreading,Thermoelectric effect#Seebeck effect
197391,"scientist devised five rules determining structure complex ionic crystals, incorrectly proposed triple helix structure dna.",D,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics),Linus Pauling
197397,"secular conformation form condition, decay rate radioactive element equal production rate daughter nucleus.",A,List of types of equilibrium,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
197402,horsts form grabens geographic features.,B,Don Giovanni,Fault (geology),Group (mathematics),Hamiltonian (quantum mechanics)
197409,"curl physical quantity given vorticity, terminal value quantity achieved accelerating force object equal drag force.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Velocity
197418,"molecule functions substrate adenylate cyclase enzymes, molecule made purine base attached pentose sugar.",A,Adenosine triphosphate,Abscisic acid,Amino acid,Cyclic adenosine monophosphate
197421,"activist published pamphlet urging stronger defense system called plain truth included cartoon cut snake captioned ""join die."" man proposed albany plan.",C,Hamiltonian (quantum mechanics),Group (mathematics),Benjamin Franklin,Georg Wilhelm Friedrich Hegel
197425,objects generated hutchinson operators iterated function systems.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Fractal
197429,"relative expression ci [""c-one""] cro [""crow""] determines whether structures enter lytic lysogenic cycles.",C,Hamiltonian (quantum mechanics),Don Giovanni,Virus,Group (mathematics)
197432,"degree phenomenon polarizes light called brewster's angle, fresnel's equations huygens' principle govern process.",C,Group (mathematics),Hamiltonian (quantum mechanics),Refraction,G. E. Moore
120287,"roberval found area curve equal three pi times height squared, wren solved pascal's challenge determine arc length eight times height.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Cycloid
197437,benioff zones counterbalance process dietz described independently hess.,A,Seafloor spreading,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni
197453,deviation equation leads compressibility factor calculated dividing left side equation right side.,C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Ideal gas law,Group (mathematics)
197460,"particles produced annihilation electron-positron pairs low energies, particle transfers energy electrons elastic collision effect named compton.",B,Diamagnetism,Photon,Phonon,Paramagnetism
197470,"reactance inductor equal quantity times inductance, resonance occurs natural type quantity.",C,Hamiltonian (quantum mechanics),Group (mathematics),Frequency,Georg Wilhelm Friedrich Hegel
197476,"alternating bands dark light structures formed cyclic changes temperatures called ogives, steep sides drumlins indicate direction structures advanced.",D,Seafloor spreading,Triton (moon),Doris Lessing,Glacier
197502,"phenomenon hypothesized mediated mass-less particle spin-two, einstein field equations describe phenomenon.",B,Phonon,Gravity,Paramagnetism,Neutrino
197510,organisms collect gametes scopa use propolis building material.,C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Bee,Hamiltonian (quantum mechanics)
197528,"pressure air substance question reduced ""vacuum"" form process, azeotropes, solutions deviate raoult's law, impervious ""simple"" form process.",D,Grignard reaction,Aldol reaction,Henry's law,Distillation
197540,objects associated wall clouds supercell thunderstorms.,C,Group (mathematics),Hamiltonian (quantum mechanics),Tornado,Georg Wilhelm Friedrich Hegel
197545,concept explains torque dipole would cause rotate center.,B,Hamiltonian (quantum mechanics),Electric field,Group (mathematics),Don Giovanni
197549,"[10[ name constellation also known ""the hunter"" contains famous belt composed three stars.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Orion (constellation)
197553,"general form, statement written ""standard deviation times standard deviation b greater equal negative two times commutator b."" thought experiment observing electron gamma-ray microscope justifies statement measure lifetime virtual particle.",B,Hamiltonian (quantum mechanics),Uncertainty principle,Group (mathematics),Don Giovanni
197555,right front quadrant strongest part phenomena gain strength easterly waves.,B,Group (mathematics),Tropical cyclone,G. E. Moore,Hamiltonian (quantum mechanics)
197557,"disease treated drug tacrine, blocks functions cholinesterase [""kolin-ester-ase""].",C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Alzheimer's disease,Hamiltonian (quantum mechanics)
197564,derivative quantity respect temperature negative entropy.,B,Arrhenius equation,Gibbs free energy,Enthalpy,Vapor pressure
197577,"compounds described using e-z [e dash z] notation occur across alkenes, generalized version notation cis-trans notation.",B,Group (mathematics),Isomer,Hamiltonian (quantum mechanics),Don Giovanni
197586,"conservation quantity consequence translational invariance lagrangian, quantity canonically conjugate position.",D,Viscosity,Mass,Turbulence,Momentum
197589,"examples cells include purkinje cells, certain parts cells often surrounded schwann cells, types glial cells.",B,Hamiltonian (quantum mechanics),Neuron,Group (mathematics),Georg Wilhelm Friedrich Hegel
197598,"one form property calculated raising product value sample 1/n [""one n""], property also comes ""harmonic"" variety.",B,Hamiltonian (quantum mechanics),Mean,Georg Wilhelm Friedrich Hegel,Group (mathematics)
197600,upward sliding avalanches occur region.,D,Cherenkov radiation,Triton (moon),Mantle (geology),Inner core
197603,"boiling water reactors heated energy released process, products breeder reactors capable undergoing process.",D,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics),Nuclear fission
197608,"substance inhibits conversion triglycerides fatty acids adipose tissue, commercial forms substance include actrapid [""act rapid""].",A,Insulin,Niacin,Glycogen,Cholesterol
207698,"quantity scales square employment according okun's law, predicts namesake ""gap"" quantity.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Gross domestic product
197623,mathematician proved riemann zeta function may written infinite product primes.,C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Leonhard Euler,Group (mathematics)
197624,diane dodd studied process feeding one population fruit flies starch others maltose.,C,Group (mathematics),Don Giovanni,Speciation,Hamiltonian (quantum mechanics)
197630,"functional groups featuring element found either side carbonyl group urea molecules, plants * unable use element unless acted upon lightning mycchorhizae [mycor-izzay].",A,Nitrogen,Ketone,Adenosine triphosphate,Boron
197633,"chandrashekar limit gives upper bound quantity white dwarf stars, product rotational analogue quantity angular acceleration yields torque.",B,Hamiltonian (quantum mechanics),Mass,Georg Wilhelm Friedrich Hegel,Group (mathematics)
197638,"term regolith refer this, although mostly applies found moon.",C,Group (mathematics),Hamiltonian (quantum mechanics),Soil,Transcription (genetics)
197654,"particles used davisson-germer experiment prove de broglie [duh broi] hypothesis, namesake capture decay process lighter isotopes transition metals silver 105.",A,Electron,Neutrino,Paramagnetism,Electric field
197661,"proof took finite list numbers, multiplied together, added one.",A,Euclid,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
197665,"boussinesq approximation used model ""natural"" type process, fluid motion generated density differences due temperature gradients.",B,Don Giovanni,Convection,Group (mathematics),Hamiltonian (quantum mechanics)
207707,"consequence lagrange's theorem, size number proper subgroups group prime order.",A,1 (number),Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
197679,"faraday rotation studies interaction light medium, induces quantized resistivity quantum hall effect.",D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Magnetic field
197684,"objects' thermodynamic processes inspired holographic principle, ergosphere surrounds rotating one objects.",C,Hall effect,Pauli exclusion principle,Black hole,Cherenkov radiation
197698,phylum includes organisms called limpets nudibranches.,B,Spleen,Mollusca,Sponge,Keratin
197699,"quantity ideal gas calculated sackur-tetrode equation, another equation uses quantity, temperature, enthalpy calculate gibbs free energy.",A,Entropy,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
197701,organelle's lamina helps support shape.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Cell nucleus
197704,substances lacking property create rollin films.,B,Diffusion,Viscosity,Phonon,Convection
197715,"aside ""bare area"" organ, covered entirely visceral peritoneum.",D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Liver
197720,"quantity represented capital formula hamiltonian, average per molecule ideal gas 3/2 times kt.",D,Electronegativity,Turbulence,Viscosity,Kinetic energy
103953,idea first occurred formulators reading louis dunoyer's work sodium.,C,Don Giovanni,Hamiltonian (quantum mechanics),Stern-Gerlach experiment,Group (mathematics)
197738,"relativistic four-vector version physical quantity proposed lorentzian translation, euler's first law relates quantity velocity frame reference.",D,Thermoelectric effect#Seebeck effect,Angular momentum,Hall effect,Momentum
197747,"namesake counting function, pi n, approximately given n natural logarithm n. 1024 bit versions used diffie-hellman key exchange, distribution linked zeros riemann zeta function.",B,Group (mathematics),Prime number,Don Giovanni,Hamiltonian (quantum mechanics)
197749,"man proved odd prime expressed distinctively difference two squares, principle least time used derive snell's law.",C,Group (mathematics),Don Giovanni,Pierre de Fermat,Hamiltonian (quantum mechanics)
120341,"part structure herniated type chari malformation, one population cells active inhibited golgi cells.",B,Georg Wilhelm Friedrich Hegel,Cerebellum,Group (mathematics),Hamiltonian (quantum mechanics)
197764,"secondary type tissue produced adaxial side vascular cambium, whereas primary type tissue located closest pith.",D,Magnesium,Tuberculosis,Chlorophyll,Xylem
197766,"zeisel test used detect them, compound thf polar example one.",A,Ether,Aldol reaction,Diels-Alder reaction,Wolff-Kishner reduction
197774,results experiment supported absence realignment parallel-plate capacitor used trouton-noble experiment.,B,Davisson-Germer experiment,Michelson-Morley experiment,Cherenkov radiation,Raman scattering
197786,next nasa probe visit body launch november 2011 named curiosity.,B,Ghana,Mars,Italy,Stratosphere
197790,cords billroth near sinusoid vessels also contains linear hilum.,D,Phloem,Retina,Liver,Spleen
197793,"bruce cork discovered antiparticle partner particle 1956, 24 years james chadwick discovered particle 1932.",A,Neutron,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
197801,theorem implies field complex numbers algebraic closure field real numbers.,C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Fundamental theorem of algebra,Group (mathematics)
197809,"alfven waves occur substances, langmuir probe used measure them.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Plasma (physics)
197818,"coelom [see-lem] forms haemal systems members phylum, second largest phylum deuterosomes.",C,Sponge,Actin,Echinoderm,Bird
207733,pulse chase used show cells lay bottom crypts intestinal villi.,A,Stem cell,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
197836,"man discovered rainfall occurred due reductions temperature, also determined composition ether, finding correct formula.",A,John Dalton,Transcription (genetics),Group (mathematics),Hamiltonian (quantum mechanics)
197845,"mathematical framework theory laid henri poincare proved lorentz transformations subset namesake group, preserving symmetries flat space-time four-dimensional minkowski space, curved gravitational forces.",C,Hamiltonian (quantum mechanics),Group (mathematics),Special relativity,Georg Wilhelm Friedrich Hegel
197854,man's ice pail experiment demonstrated charge electrically conducting body rests entirely surface.,A,Michael Faraday,Compton scattering,Davisson-Germer experiment,Raman scattering
197860,one variety technique utilizes short-path apparatus called kugelrohr (koo-gehl-roar).,C,Madame Bovary,Citric acid cycle,Distillation,William Golding
197872,element first observed jules janssen solar eclipse 1868.,A,Helium,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
197880,"one constant associated ""skin"" form phenomenon calculated using local wall shear stress, fluid density, free-stream velocity, ""stick-slip"" model phenomenon velocity-dependent.",D,Diffraction,Angular momentum,Thermoelectric effect#Seebeck effect,Friction
197883,"irregularly shaped compartments organelle change response cellular metabolic activity called paraspeckles, promyelocytic leukemia bodies often found organelle.",C,Hamiltonian (quantum mechanics),Group (mathematics),Cell nucleus,Georg Wilhelm Friedrich Hegel
197889,"man noted platonic solids could uniquely inscribed sphere, nested model solar system.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Johannes Kepler
197895,"swi5 tramtrack variants structural domain named element, amalgam element hydrochloric acid used reduce ketones clemmensen reduction.",A,Zinc,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
197899,"two identical particles, quantity-squared equals four pi times permittivity free space times distance particles squared times force.",A,Electric charge,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
197903,"councilman bodies cells organ undergo apoptosis, organ surrounded glisson's capsule.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Liver,Hamiltonian (quantum mechanics)
197910,"intensity phenomena calculated adding one half log base two h sub v, ranked scale named soloviev imamura.",C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Tsunami,Hamiltonian (quantum mechanics)
197915,"color indicates reactivity chemical nfpa 704 label, 1% efficiency, dpss lasers color expensive per unit power.",C,Group (mathematics),Don Giovanni,Yellow,Hamiltonian (quantum mechanics)
197918,mobius function takes value square-free inputs even number prime factors.,D,Arrow's impossibility theorem,Group (mathematics),Prime number,1 (number)
197920,"time constant equal inductance divided value, one formula quantity gives rho (""row"") times length divided cross-sectional area.",A,Electrical resistance,Entropy,Vapor pressure,Viscosity
197929,eurypterids early aquatic members phylum lived ordovician silurian periods.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Arthropod
197930,"john lennon sings lyrics ""so sgt.",C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Sleep,Group (mathematics)
197939,"it's sphere, non-intersecting graph cannot drawn one objects subgraphs homeomorphic either k-sub 3 comma 3 k-sub 5, result known kuratowski's theorem.",B,Georg Wilhelm Friedrich Hegel,Plane (geometry),Hamiltonian (quantum mechanics),Group (mathematics)
197941,"wire suspended magnetic field, magnitude quantity equal magnitude current times length times field strength, charge electric field, quantity product charge field strength.",D,Hamiltonian (quantum mechanics),Group (mathematics),G. E. Moore,Force
197943,"element bonded sodium aluminum cryolite, found naturally minerals topaz apatite.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Fluorine
